               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.026851,            0.027336,                   0,             0.91239,             0.81677,             0.89831,             0.62656,            0.030877,            0.010793,                   0,           0.0033012,           0.0033012,           0.0033012
                  55,            0.027058,            0.026508,                   0,             0.92804,             0.84314,             0.91763,             0.63102,            0.031774,            0.010303,                   0,           0.0031488,           0.0031488,           0.0031488
                  56,            0.026309,            0.026272,                   0,             0.91296,             0.82265,             0.90048,             0.64185,             0.03054,            0.010671,                   0,           0.0029999,           0.0029999,           0.0029999
                  57,            0.026599,            0.025466,                   0,             0.89926,             0.81699,             0.90375,              0.6319,            0.031769,            0.010623,                   0,            0.002855,            0.002855,            0.002855
                  58,            0.025419,            0.025212,                   0,             0.94728,             0.82353,              0.9063,             0.63987,            0.030663,             0.01048,                   0,           0.0027141,           0.0027141,           0.0027141
                  59,            0.025477,            0.025815,                   0,             0.92548,             0.81699,             0.91392,             0.63835,            0.031416,            0.010495,                   0,           0.0025775,           0.0025775,           0.0025775
                  60,            0.025769,            0.025489,                   0,             0.93846,             0.79739,             0.89544,             0.62599,            0.030953,             0.01088,                   0,           0.0024454,           0.0024454,           0.0024454
                  61,            0.025091,            0.025371,                   0,              0.9248,             0.80384,             0.90756,             0.63391,            0.031623,            0.010656,                   0,            0.002318,            0.002318,            0.002318
                  62,             0.02506,            0.024779,                   0,             0.93129,             0.79727,             0.88248,             0.63354,            0.031259,            0.011536,                   0,           0.0021955,           0.0021955,           0.0021955
                  63,            0.025047,            0.025912,                   0,              0.9066,             0.83007,             0.90783,             0.64462,             0.03074,            0.011217,                   0,           0.0020782,           0.0020782,           0.0020782
                  64,            0.024554,            0.024294,                   0,             0.93883,             0.80392,             0.89134,             0.63833,            0.030897,            0.011324,                   0,           0.0019661,           0.0019661,           0.0019661
                  65,             0.02505,            0.025085,                   0,             0.88342,             0.84314,             0.88639,             0.62486,            0.031864,             0.01132,                   0,           0.0018594,           0.0018594,           0.0018594
                  66,            0.024791,            0.026056,                   0,             0.93382,             0.83004,             0.90138,             0.63807,            0.032255,            0.011264,                   0,           0.0017584,           0.0017584,           0.0017584
                  67,            0.023964,            0.023378,                   0,             0.94039,             0.83007,              0.8986,             0.63061,             0.03193,            0.011777,                   0,           0.0016631,           0.0016631,           0.0016631
                  68,            0.024141,            0.024457,                   0,             0.93331,             0.82353,             0.90589,             0.64162,            0.031016,             0.01135,                   0,           0.0015738,           0.0015738,           0.0015738
                  69,            0.023708,            0.023945,                   0,             0.93845,             0.79717,             0.88904,             0.63365,            0.031299,            0.011441,                   0,           0.0014905,           0.0014905,           0.0014905
                  70,            0.023565,            0.022844,                   0,             0.93797,             0.80392,             0.89694,             0.63604,            0.030662,            0.011548,                   0,           0.0014134,           0.0014134,           0.0014134
                  71,            0.023688,            0.024429,                   0,             0.95966,             0.77746,              0.8951,             0.64128,            0.030967,            0.011494,                   0,           0.0013425,           0.0013425,           0.0013425
                  72,            0.023595,             0.02449,                   0,              0.9248,             0.80374,              0.8946,             0.63795,            0.031259,            0.011372,                   0,           0.0012781,           0.0012781,           0.0012781
                  73,            0.023826,            0.022645,                   0,             0.92371,             0.79739,              0.8857,             0.62798,            0.031754,             0.01189,                   0,           0.0012202,           0.0012202,           0.0012202
                  74,             0.02361,            0.024235,                   0,             0.93984,             0.81683,             0.89654,             0.63697,            0.031568,            0.011803,                   0,            0.001169,            0.001169,            0.001169
                  75,             0.02309,            0.023911,                   0,             0.94175,             0.76471,             0.88775,             0.62981,            0.031591,            0.012225,                   0,           0.0011243,           0.0011243,           0.0011243
                  76,            0.023787,            0.023753,                   0,             0.85875,              0.8366,             0.87891,             0.62194,            0.031926,             0.01222,                   0,           0.0010865,           0.0010865,           0.0010865
                  77,            0.023652,            0.024161,                   0,             0.96772,             0.78431,             0.88342,             0.61552,            0.031188,            0.011969,                   0,           0.0010554,           0.0010554,           0.0010554
                  78,            0.023474,            0.023782,                   0,              0.9516,             0.77108,             0.87833,             0.63541,            0.031121,            0.012252,                   0,           0.0010312,           0.0010312,           0.0010312
                  79,            0.022991,            0.023746,                   0,             0.89051,             0.79737,             0.87883,             0.62403,            0.031182,            0.012003,                   0,           0.0010139,           0.0010139,           0.0010139
